Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 3, 224, 224, 3, 224, 224, 3, FRAME, 0, 0, 12845056, 12845056, 1, 1, 1,,,,,,,,, DDR, DMA, 200704, 12845056, 2, 603136, 0, 0, ,,,,,,,, DDR, CPU, 200704, 200704, 3, 603136, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1,     Conv, 3, 224, 224, 16, 112, 112, 3, ROW_L, 224, 224, 18368, 50176, 3, 1, 3,,,,,,,,, L2, DMA, 74048, 74048, 3, 222336, 0, 0, ,,,,,,,, MSMC, CPU, 12608, 12545, 16, 201856, 0, 0, ,,,,,,,, MSMC, DMA, 27, 27, 16, 512, 0, 31480, L2, DMA_ONCE, 27, 27, 16, 512, 0, 37480, 
 2,     Conv, 16, 112, 112, 16, 112, 112, 1,  COL, 0, 0, 12544, 12544, 4, 1, 4,,,,,,,,, L2, DMA, 12544, 12544, 8, 100480, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12768, 16, 205952, 112, 32400, ,,,,,,,, MSMC, DMA, 10, 10, 96, 1024, 0, 31480, ,,,,,,,, 
 3,     Conv, 16, 112, 112, 56, 112, 112, 16, ROW_L, 0, 0, 7072, 12544, 2, 1, 2,,,,,,,,, L2, DMA, 14144, 14144, 16, 226432, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12768, 56, 720512, 112, 0, ,,,,,,,, MSMC, DMA, 16, 16, 56, 1152, 0, afe80, ,,,,,,,, 
 4,     Conv, 56, 112, 112, 56, 56, 56, 1,  COL, 0, 0, 12544, 12544, 7, 1, 7,,,,,,,,, L2, DMA, 12544, 12544, 16, 200832, 0, 0, ,,,,,,,, MSMC, CPU, 3136, 3136, 56, 175744, 0, afe80, ,,,,,,,, MSMC, DMA, 10, 10, 336, 3456, 0, dad00, ,,,,,,,, 
 5,     Conv, 56, 56, 56, 88, 56, 56, 56, ROW_L, 0, 0, 2016, 3136, 2, 1, 2,,,,,,,,, L2, DMA, 4032, 4032, 56, 225920, 0, 0, ,,,,,,,, DDR, CPU, 6048, 3136, 88, 533248, 0, 0, ,,,,,,,, MSMC, DMA, 56, 56, 88, 5376, 0, dad00, ,,,,,,,, 
 6,     Conv, 88, 56, 56, 88, 56, 56, 1,  COL, 0, 0, 3136, 3136, 22, 1, 22,,,,,,,,, L2, DMA, 3136, 3136, 8, 25216, 0, 0, MSMC, CPU, 3248, 3136, 88, 25984, 0, afe80, DDR, DMA, 3248, 3248, 88, 286848, 56, 92800, ,,,,,,,, MSMC, DMA, 10, 10, 528, 5376, 0, dad00, ,,,,,,,, 
 7,     Conv, 88, 56, 56, 120, 56, 56, 88, ROW_L, 0, 0, 1248, 3136, 3, 1, 3,,,,,,,,, L2, DMA, 2496, 2496, 88, 221056, 0, 0, ,,,,,,,, DDR, CPU, 4992, 3248, 120, 600064, 56, 0, ,,,,,,,, MSMC, DMA, 192, 88, 120, 23552, 0, afe80, ,,,,,,,, 
 8,     Conv, 120, 56, 56, 120, 28, 28, 1,  COL, 0, 0, 3136, 3136, 4, 1, 4,,,,,,,,, L2, DMA, 3136, 3136, 60, 188288, 0, 0, ,,,,,,,, MSMC, CPU, 832, 784, 120, 99968, 0, afe80, ,,,,,,,, MSMC, DMA, 10, 10, 720, 7296, 0, c8500, ,,,,,,,, 
 9,     Conv, 120, 28, 28, 144, 28, 28, 120, ROW_L, 0, 0, 784, 784, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 120, 99968, 0, 0, ,,,,,,,, MSMC, CPU, 832, 784, 144, 119936, 0, afe80, ,,,,,,,, MSMC, DMA, 192, 120, 144, 28288, 0, cd300, ,,,,,,,, 
 10,     Conv, 144, 28, 28, 144, 28, 28, 1,  COL, 0, 0, 784, 784, 1, 1, 1,,,,,,,,, L2, DMA, 784, 784, 144, 113024, 0, 0, ,,,,,,,, MSMC, CPU, 960, 840, 144, 138368, 28, cf500, ,,,,,,,, MSMC, DMA, 10, 10, 864, 8704, 0, cd300, ,,,,,,,, 
