Num of Layer Detected : 140 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |TIDL_cast_in                                      |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0 |       1        3      256      256 |    196608 |
    1|TIDL_DataConvertLayer         |TIDL_cast_in_netFormat                            |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        3      256      256 |       1        3      256      256 |    196608 |
    2|TIDL_ConvolutionLayer         |511                                               |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        3      256      256 |       1       32      128      128 |  14155776 |
    3|TIDL_ConvolutionLayer         |516                                               |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1       32      128      128 |       1       32      128      128 |   4718592 |
    4|TIDL_ConvolutionLayer         |998                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1       32      128      128 |       1       24      128      128 |  12582912 |
    5|TIDL_ConvolutionLayer         |523                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1       24      128      128 |       1      144      128      128 |  56623104 |
    6|TIDL_ConvolutionLayer         |552                                               |     0|     1|     1|  5   x   x   x   x   x   x   x |  6       |       1      144      128      128 |       1      144       64       64 |   5308416 |
    7|TIDL_ConvolutionLayer         |1007                                              |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1      144       64       64 |       1       32       64       64 |  18874368 |
    8|TIDL_ConvolutionLayer         |559                                               |     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1       32       64       64 |       1      192       64       64 |  25165824 |
    9|TIDL_ConvolutionLayer         |564                                               |     0|     1|     1|  8   x   x   x   x   x   x   x |  9       |       1      192       64       64 |       1      192       64       64 |   7077888 |
   10|TIDL_ConvolutionLayer         |1016                                              |     0|     1|     1|  9   x   x   x   x   x   x   x | 10       |       1      192       64       64 |       1       32       64       64 |  25165824 |
   11|TIDL_EltWiseLayer             |567                                               |     0|     2|     1| 10   7   x   x   x   x   x   x | 11       |       1       32       64       64 |       1       32       64       64 |    131072 |
   12|TIDL_ConvolutionLayer         |572                                               |     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1       32       64       64 |       1      192       64       64 |  25165824 |
   13|TIDL_ConvolutionLayer         |577                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 13       |       1      192       64       64 |       1      192       64       64 |   7077888 |
   14|TIDL_ConvolutionLayer         |1025                                              |     0|     1|     1| 13   x   x   x   x   x   x   x | 14       |       1      192       64       64 |       1       32       64       64 |  25165824 |
   15|TIDL_EltWiseLayer             |580                                               |     0|     2|     1| 14  11   x   x   x   x   x   x | 15       |       1       32       64       64 |       1       32       64       64 |    131072 |
   16|TIDL_ConvolutionLayer         |908                                               |     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1       32       64       64 |       1       64       64       64 |  75497472 |
   17|TIDL_BatchNormLayer           |957                                               |     0|     1|     1| 16   x   x   x   x   x   x   x | 17       |       1       64       64       64 |       1       64       64       64 |    262144 |
   18|TIDL_ConvolutionLayer         |959                                               |     0|     1|     1| 17   x   x   x   x   x   x   x | 18       |       1       64       64       64 |       1       64       64       64 | 150994944 |
   19|TIDL_ConvolutionLayer         |960                                               |     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1       64       64       64 |       1       64       64       64 | 150994944 |
   20|TIDL_EltWiseLayer             |961                                               |     0|     2|     1| 19  16   x   x   x   x   x   x | 20       |       1       64       64       64 |       1       64       64       64 |    262144 |
   21|TIDL_ConvolutionLayer         |585                                               |     0|     1|     1| 15   x   x   x   x   x   x   x | 21       |       1       32       64       64 |       1      192       64       64 |  25165824 |
   22|TIDL_ConvolutionLayer         |614                                               |     0|     1|     1| 21   x   x   x   x   x   x   x | 22       |       1      192       64       64 |       1      192       32       32 |   4915200 |
   23|TIDL_ConvolutionLayer         |1034                                              |     0|     1|     1| 22   x   x   x   x   x   x   x | 23       |       1      192       32       32 |       1       48       32       32 |   9437184 |
   24|TIDL_ConvolutionLayer         |621                                               |     0|     1|     1| 23   x   x   x   x   x   x   x | 24       |       1       48       32       32 |       1      288       32       32 |  14155776 |
   25|TIDL_ConvolutionLayer         |626                                               |     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1      288       32       32 |       1      288       32       32 |   7372800 |
   26|TIDL_ConvolutionLayer         |1043                                              |     0|     1|     1| 25   x   x   x   x   x   x   x | 26       |       1      288       32       32 |       1       48       32       32 |  14155776 |
   27|TIDL_EltWiseLayer             |629                                               |     0|     2|     1| 26  23   x   x   x   x   x   x | 27       |       1       48       32       32 |       1       48       32       32 |     49152 |
   28|TIDL_ConvolutionLayer         |634                                               |     0|     1|     1| 27   x   x   x   x   x   x   x | 28       |       1       48       32       32 |       1      288       32       32 |  14155776 |
   29|TIDL_ConvolutionLayer         |639                                               |     0|     1|     1| 28   x   x   x   x   x   x   x | 29       |       1      288       32       32 |       1      288       32       32 |   7372800 |
   30|TIDL_ConvolutionLayer         |1052                                              |     0|     1|     1| 29   x   x   x   x   x   x   x | 30       |       1      288       32       32 |       1       48       32       32 |  14155776 |
   31|TIDL_EltWiseLayer             |642                                               |     0|     2|     1| 30  27   x   x   x   x   x   x | 31       |       1       48       32       32 |       1       48       32       32 |     49152 |
   32|TIDL_ConvolutionLayer         |909                                               |     0|     1|     1| 31   x   x   x   x   x   x   x | 32       |       1       48       32       32 |       1      128       32       32 |  56623104 |
   33|TIDL_BatchNormLayer           |940                                               |     0|     1|     1| 32   x   x   x   x   x   x   x | 33       |       1      128       32       32 |       1      128       32       32 |    131072 |
   34|TIDL_ConvolutionLayer         |942                                               |     0|     1|     1| 33   x   x   x   x   x   x   x | 34       |       1      128       32       32 |       1      128       32       32 | 150994944 |
   35|TIDL_ConvolutionLayer         |943                                               |     0|     1|     1| 34   x   x   x   x   x   x   x | 35       |       1      128       32       32 |       1      128       32       32 | 150994944 |
   36|TIDL_EltWiseLayer             |944                                               |     0|     2|     1| 35  32   x   x   x   x   x   x | 36       |       1      128       32       32 |       1      128       32       32 |    131072 |
   37|TIDL_ConvolutionLayer         |647                                               |     0|     1|     1| 31   x   x   x   x   x   x   x | 37       |       1       48       32       32 |       1      288       32       32 |  14155776 |
   38|TIDL_ConvolutionLayer         |676                                               |     0|     1|     1| 37   x   x   x   x   x   x   x | 38       |       1      288       32       32 |       1      288       16       16 |    663552 |
   39|TIDL_ConvolutionLayer         |1061                                              |     0|     1|     1| 38   x   x   x   x   x   x   x | 39       |       1      288       16       16 |       1       96       16       16 |   7077888 |
   40|TIDL_ConvolutionLayer         |683                                               |     0|     1|     1| 39   x   x   x   x   x   x   x | 40       |       1       96       16       16 |       1      576       16       16 |  14155776 |
   41|TIDL_ConvolutionLayer         |688                                               |     0|     1|     1| 40   x   x   x   x   x   x   x | 41       |       1      576       16       16 |       1      576       16       16 |   1327104 |
   42|TIDL_ConvolutionLayer         |1070                                              |     0|     1|     1| 41   x   x   x   x   x   x   x | 42       |       1      576       16       16 |       1       96       16       16 |  14155776 |
